PRODUCT CODE,PRODUCT TITLE,BRAND,PRODUCT TYPE,GTIN,PRICE
KC58832,Kleenex 3-Ply Toilet Rolls Toilet Tissue Sheets White (Pack of 72) 8459,Kleenex®,Sanitary Refills,00036000588323,31.48
SCA84827,Tork Mini Jumbo 2-Ply Toilet Roll Advanced 170m Natural (Pack of 12) 120377,Tork,Sanitary Refills,7322541848273,31.50
NH07745,Raphael Alcohol Free Hand Sanitiser 1L (Pack of 6) SOSANRA,Raphael,Cleaning Products,5010146007745,32.34
SCA14273,Tork T3 Folded Toilet Tissue 2-Ply 252 Sheets (Pack of 30) 114273,Tork,Sanitary Refills,7310791004242,32.35
SCA06256,Tork Reflex M4 Centrefeed Wiping Paper 1-Ply 114m (Pack of 6) 473412,Tork,Sanitary Refills,3133200062565,32.52
PW22130,P-Wave Slant6 Urinal Screen Honeysuckle (Pack of 10) WZDS60HS,P-Wave,Cleaning Products,715235749548,32.54
PW22132,P-Wave Slant6 Urinal Screen Mango (10 Pack) WZDS60MG,P-Wave,Cleaning Products,715235749562,32.54
PW22128,P-Wave Slant6 Urinal Screen Spiced Apple (Pack of 10) WZDS60SA,P-Wave,Cleaning Products,715235749609,32.54
CC72129,Clover ECO 550 Toilet Cleaner 1 Litre (Pack of 12) 550,Clover,Cleaning Products,5060390721294,32.60
2W06255,2Work Polythene Bags 90L 50 Per Roll Clear (Pack of 250) 2W06255,2Work,Cleaning Equipment,5030037062554,32.86
SCA21114,Tork T2 System Mini Jumbo Roll 2-Ply 850 Sheets (12 Pack) 110254,Tork,Sanitary Dispensers,7322540221114,32.91
KC01094,Scott 1-Ply Performance Hand Towels 212 Sheets (Pack of 15) 6663,Scott®,Sanitary Refills,05027375010941,33.15
CPD63015,Cheeky Panda V Fold Flushable Bamboo Hand Towel (Pack of 3200 Sheets) VHANDTW20,The Cheeky Panda,Sanitary Dispensers,5060561630158,33.58
SCA55282,Tork Xpress Universal Multifold Hand Towel H2 1-Ply White 250 Sheets (Pack of 12) 471074,Tork,Sanitary Dispensers,5010195552821,34.07
SCA18358,Tork 2-Ply Blue Roll 255m (2 Pack) 130052,Tork,Sanitary Refills,7322540183580,34.26
KC00224,Kleenex Frequent Use Hand Soap Refill 1 Litre (Pack of 6) 6333,Kleenex®,Cleaning Products,5027375018763,34.50
KC05876,Kimberly Clark ICON Faceplate for Auto Soap and Sanitiser Dispenser Warm Marble 58794,Icon,Sanitary Dispensers,00003600058762,34.65
HEA00842,Shield Clear Triple Disposable Glove Dispenser (Pack of 2) GE/TGD,Ph Shield,Sanitary Dispensers,5024951008422,34.65
SBY33687,Portable Expanding Sandbags (Pack of 5) 389211,0,Janitorial Other,5052105336879,34.69
KC05175,Wypall L10 Food and Hygiene Centrefeed 800 Sheets Blue (6 Pack) 7255,WypAll®,Sanitary Refills,5027375051753,34.79
KC05176,Wypall L10 Food and Hygiene Centrefeed White (6 Pack) 7256,WypAll®,Sanitary Refills,5027375051760,34.79
RK10865,Finish Quantum Infinity Shine Dishwasher Tablets (Pack of 100) 3219120,Finish,Cleaning Products,5059001010865,34.96
KC05288,Scott Control Toilet Tissue Centrefeed Roll 2-Ply 833 Sheets (Pack of 12) 8591,Scott®,Sanitary Refills,5027375052880,35.03
SCA06294,Tork Reflex Multipurpose Wiping Paper Plus 2-Ply 200 Sheets (Pack of 9) 473474,Tork,Sanitary Refills,3133200062947,35.30
KZ06694,Katrin Plus System Toilet Paper 800 White (Pack of 36) 66940,Katrin,Sanitary Refills,6414301066940,35.34
KC01095,Kleenex 2-Ply Ultra Hand Towel 124 Sheets (Pack of 15) 6778,Kleenex®,Sanitary Refills,05027375010958,35.39
DEB01468,Deb Stokolan Light PURE Hand Cream 100ml (Pack of 12) RES100ML,Deb,Cleaning Products,5010424014687,35.70
2W06297,2Work Heavy Duty Descaler and Cleaner 1 Litre (Pack of 12) 2W06297,2Work,Cleaning Products,5022905062971,35.79
SCA39437,Tork Extra Mild Liquid Soap Refill S1 Non Perfumed 1 Litre (Pack of 6) 420701,Tork,Sanitary Dispensers,7322540394375,36.50
WAC14540,Quick Response Chemical Spill Kit 15 Litre Accessories Pack 1044046,Unbranded,Cleaning Equipment,5025766145401,36.96
WAC14536,Oil Spill Kit 15 Litre Capacity 1011040,Unbranded,Cleaning Equipment,5025766145364,37.11
KC01048,Scott 1-Ply Interfolded Performance Hand Towels 300 Sheets (Pack of 15) 6659,Scott®,Sanitary Dispensers,5033848010486,37.38
KZ46026,Katrin Classic System Hand Towel M2 2-Ply Blue (Pack of 6) 460263,Katrin,Cleaning Products,6414305460263,37.86
KZ46010,Katrin Classic System Hand Towel M2 2-Ply White (Pack of 6) 460102,Katrin,Cleaning Products,6414305460102,37.86
SCA34938,Tork Elevation Centrefeed Dispenser White 559000,Tork,Sanitary Dispensers,7322540349382,37.91
WE00356,Winter Snow Pusher K1 with Wheels Black 390558,0,Janitorial Other,5052105003566,38.04
KC02707,Scott Control Frequent Use Foam Hand Cleanser 1.2L (Pack of 4) 6345021,Scott®,Sanitary Refills,5027375026812,38.35
SCA34924,Tork Singlefold Hand Towel Dispenser H3 White 553000,Tork,Sanitary Refills,7322540349245,38.59
